54_6	(3, 4, 9)	0.87380314
54_7	(3, 5, 10)	1.0326495
54_8	(0, 0, 0)	-1.8595963
54_9	(0, 1, 1)	-1.2739549
56_2	(3, 5, 10)	2.5555553
56_3	(3, 5, 10)	0.62102985
56_4	(3, 5, 10)	1.4652262
56_5	(3, 5, 10)	1.8196712
56_6	(3, 5, 10)	1.370553
56_7	(0, 0, 0)	-1.2523446
56_8	(3, 5, 10)	1.0958085
58_2	(3, 5, 10)	2.735859
58_3	(3, 5, 10)	1.6646142
58_4	(3, 5, 9)	1.4650493
58_5	(3, 5, 10)	2.3186371
58_6	(2, 4, 9)	1.4478836
58_7	(3, 3, 3)	-1.0617018
58_8	(1, 1, 2)	-0.39021206
59_2	(0, 1, 5)	0.26754093
59_3	(0, 0, 0)	-2.9886456
59_4	(0, 0, 1)	-1.8974371
59_5	(0, 0, 0)	-2.2617874
59_6	(0, 0, 0)	-2.207018
59_7	(0, 0, 0)	-1.0192251
59_8	(3, 5, 10)	0.4059353
61_2	(3, 5, 10)	1.5453663
61_3	(3, 5, 10)	1.9660463
61_4	(3, 5, 9)	0.9639816
61_5	(1, 1, 2)	0.2590394
61_6	(0, 0, 0)	-1.4287562
61_7	(0, 0, 0)	-1.4498696
61_8	(0, 0, 0)	-1.4130979
61_9	(3, 5, 5)	0.22446585
67_2	(3, 5, 10)	1.4632635
67_3	(3, 5, 10)	1.0032973
67_4	(2, 4, 6)	-0.3287754
67_5	(3, 6, 10)	-0.37332773
67_6	(0, 0, 0)	-0.5007076
67_7	(1, 1, 2)	-1.1769948
67_8	(2, 4, 9)	-0.2164259
67_9	(0, 0, 2)	-0.6657505
67_10	(0, 0, 0)	-0.7787514
67_11	(0, 0, 0)	-2.1671114
68_2	(3, 5, 8)	1.7161727
68_3	(3, 5, 10)	3.2983868
68_4	(0, 0, 0)	-1.7345595
68_5	(2, 3, 7)	-1.4123454
68_6	(2, 4, 6)	-1.0677118
68_7	(0, 0, 0)	-1.6190376
68_8	(0, 0, 0)	-1.5742378
68_9	(3, 5, 10)	2.4630072
68_10	(2, 4, 9)	-0.40872908
68_11	(3, 5, 9)	-0.4649744
69_2	(3, 6, 10)	1.1078749
69_3	(0, 0, 0)	-1.4974174
69_4	(0, 0, 0)	-0.89573526
69_5	(0, 0, 1)	-0.6556463
69_6	(0, 0, 0)	-0.2993517
69_7	(2, 4, 6)	-1.1304388
69_8	(2, 3, 6)	-0.9389081
69_9	(3, 4, 6)	-0.09935665
69_10	(0, 2, 6)	-0.49887037
75_2	(3, 5, 10)	0.33784342
75_3	(3, 5, 10)	0.44299126
75_4	(3, 5, 9)	-0.07810736
